"","Accession","Species","Genus","Family"
"1431","NC_049510.1","Yonginvirus EaP8","Yonginvirus","Schitoviridae"
"1432","NC_008517.1","Tomato leaf curl Pune virus","Begomovirus","Geminiviridae"
"1433","NC_015296.1","Kuttervirus ViI","Kuttervirus","Ackermannviridae"
"1435","NC_078219.1","Subterranean clover stunt virus","Nanovirus","Nanoviridae"
"1437","NC_015396.1","Gyrovirus galga1","Gyrovirus","Anelloviridae"
"1438","NC_075295.1","Porprismacovirus macas3","Porprismacovirus","Smacoviridae"
"1440","NC_048066.1","Canoevirus canoe","Canoevirus","Peduoviridae"
"1441","NC_044856.1","Norwalk virus","Norovirus","Caliciviridae"
"1442","NC_074427.1","Lygehevirus pedocola","Lygehevirus","Steitzviridae"
"1443","NC_028670.1","Drulisvirus KpV41","Drulisvirus","Autographiviridae"
"1444","NC_033721.1","Orthoflavivirus meabanense","Orthoflavivirus","Flaviviridae"
"1445","NC_038706.1","Jonvirus eboris","Jonvirus","Phasmaviridae"
"1446","NC_017865.1","Phikmvvirus PT5","Phikmvvirus","Autographiviridae"
"1448","NC_076438.1","Gemykibivirus galga2","Gemykibivirus","Genomoviridae"
"1449","NC_055485.1","Dependoparvovirus rodent1","Dependoparvovirus","Parvoviridae"
